H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,1,0,.000,山井　大介,0,0,0,0,0,2021,中　日,1,0,0,0,0,0,0,1,0,0.00
19,20,5,0,30,1,.333,祖父江　大輔,9,18,59,0,0,2021,中　日,208,48,2,0,1,1,0,55,14,2.59
20,22,0,0,38,2,.500,福　敬登,15,16,37,0,0,2021,中　日,185,45,2,1,4,3,0,57,16,3.18
0,0,0,0,3,0,.000,岡野　祐一郎,2,10,13,0,0,2021,中　日,40,8,2,0,0,1,0,2,8,9.00
0,0,0,0,41,6,.545,松葉　貴大,15,30,74,0,0,2021,中　日,309,76,5,3,7,2,0,14,27,3.20
1,1,0,0,0,0,.000,石川　翔,0,0,0,0,0,2018,中　日,3,1,0,0,0,0,0,1,0,0.00
0,0,0,0,67,3,.333,勝野　昌慶,31,38,92,0,0,2021,中　日,391,91,6,1,9,2,0,17,38,3.74
0,0,0,0,3,0,.000,Ｒ．ロサリオ,6,4,8,0,0,2021,中　日,40,9,0,1,1,2,0,9,3,3.00
0,0,0,0,6,0,.000,三ツ間　卓也,1,5,10,0,0,2021,中　日,28,5,0,1,1,0,0,5,4,6.75
0,2,0,1,11,2,1.000,鈴木　博志,5,12,22,0,0,2021,中　日,91,20,0,0,2,2,0,18,12,5.31
0,0,0,0,13,0,.000,笠原　祥太郎,17,14,20,0,0,2021,中　日,94,20,2,1,4,0,0,4,14,6.30
0,0,0,0,1,0,.000,清水　達也,4,1,5,0,0,2021,中　日,19,4,1,0,0,0,0,1,1,2.25
0,0,0,0,3,0,.000,マルク,3,4,5,0,0,2020,中　日,17,3,0,0,1,0,0,3,4,12.00
5,6,0,0,38,1,1.000,藤嶋　健人,13,9,35,0,0,2021,中　日,200,51,0,1,3,0,0,48,9,1.59
0,1,0,0,12,1,1.000,山本　拓実,8,10,16,0,0,2021,中　日,67,14,0,0,1,1,0,9,10,6.43
0,0,0,0,61,1,.200,Ｙ．ロドリゲス,38,29,56,0,0,2021,中　日,275,61,4,6,8,5,0,12,25,3.65
0,0,0,0,5,0,.000,濱田　達郎,3,4,7,0,0,2020,中　日,27,5,0,0,2,1,0,7,4,6.75
